id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2384,"Walk to UChicago, 10 min train to McCormick Place",2613,Rebecca,,Hyde Park,41.78886,-87.58671,Private room,50,2,176,2019-11-13,2.97,1,349
4505,One Great Apartment. 384 Great Reviews. 1 Bad One.,5775,Craig & Kathleen,,South Lawndale,41.85495,-87.69696,Entire home/apt,117,1,390,2019-11-10,2.99,1,251
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,41.90289,-87.68182,Entire home/apt,80,2,370,2019-11-04,2.93,1,328
9811,Barbara's Hideaway - Old Town,33004,At Home Inn,,Lincoln Park,41.91769,-87.63788,Entire home/apt,150,4,49,2019-10-23,0.72,11,289
10610,3 Comforts of Cooperative Living,2140,Lois,,Hyde Park,41.79708,-87.59195,Private room,35,2,43,2019-10-28,0.70,5,258
10945,The Biddle House (#1),33004,At Home Inn,,Lincoln Park,41.91183,-87.64,Entire home/apt,215,4,16,2019-10-28,0.24,11,266
12140,Lincoln Park Guest House,46734,Sharon And Robert,,Lincoln Park,41.92335,-87.64951,Private room,289,2,4,2018-10-17,0.07,1,179
22362,*** Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ **,85811,Craig,,West Town,41.89617,-87.66041,Entire home/apt,99,89,9,2014-10-12,0.12,1,365
24833,Private Apt 1 Block to Fullerton L Red Line - Deck,101521,Red,,Lincoln Park,41.92679,-87.65521,Entire home/apt,99,32,37,2018-07-29,0.32,4,90
25879,Top 2/1  Block to Fullerton L Red Line Deck & Yard,101521,Red,,Lincoln Park,41.92693,-87.65753,Entire home/apt,99,32,44,2019-03-12,0.38,4,336
28749,3 bedroom Dramatic Bucktown LOFT,27506,Laurie,,Logan Square,41.92083,-87.6801,Entire home/apt,190,2,47,2018-01-01,0.43,1,293
37738,Andersonville - Perfect location!,162364,Mat And Randy,,Uptown,41.97385,-87.66539,Private room,77,3,245,2019-10-14,2.15,1,338
39742,Central guestroom! Walk everywhere!,170758,Eric,,Near North Side,41.89377,-87.63465,Private room,75,2,500,2019-09-30,4.51,1,0
44020,2 Bedrm 1 Block to Fullerton Red Line L - Garage,101521,Red,,Lincoln Park,41.92673,-87.65731,Entire home/apt,80,32,52,2019-09-01,0.52,4,270
71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.89687,-87.67989,Private room,59,3,64,2019-10-28,0.62,2,344
79101,5★Cubs/Riviera/AragonTRAIN2Bdrms/Ba,272671,Two For The Road,,Uptown,41.96792,-87.65757,Private room,180,2,149,2019-10-13,1.41,4,350
84042,The Explorer Room,334241,Michael And Veronica,,West Town,41.89693,-87.68033,Private room,55,3,70,2019-11-03,0.67,2,277
110705,Fab Value!/ Spa /Deck/ARAGON/RIVIERA/TRAIN/CUBS/,272671,Two For The Road,,Uptown,41.9693,-87.65621,Private room,99,2,144,2019-11-11,1.39,4,347
126280,"Near Lake, Wrigley and Weiss Hospital",626517,Gail,,Uptown,41.96804,-87.65123,Private room,48,3,155,2019-11-10,1.51,1,201
131096,Reliable Host + Comfy Double Bed,645234,Carol,,Avondale,41.93361,-87.71977,Private room,60,1,109,2019-11-07,2.25,1,0
133262,"Sweet Ivy Apartment #1 Relax, Recharge & Explore!",654712,Francesca,,West Town,41.89243,-87.68078,Entire home/apt,100,14,35,2019-06-12,0.41,2,118
144840,Great 3 Bedroom in Great Wrigley/Lakeview Location,701615,Daniel,,Lake View,41.94079,-87.65763,Entire home/apt,225,2,27,2019-10-20,0.60,1,274
145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,,North Center,41.94364,-87.68155,Entire home/apt,275,2,20,2019-10-20,0.40,20,365
145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,,Lincoln Park,41.91351,-87.63929,Entire home/apt,475,2,41,2019-10-14,0.75,20,353
165952,"Two Bedroom, One Bathroom Apartment",791089,Conrad,,Lake View,41.94274,-87.67321,Entire home/apt,198,3,60,2019-10-21,0.59,4,364
166667,Cozy Garden Studio ,791089,Conrad,,North Center,41.94274,-87.67378,Entire home/apt,125,3,88,2019-10-19,0.87,4,365
166706,"Three Bedroom, Two Bathroom Combo Apartment",791089,Conrad,,Lake View,41.94221,-87.67327,Entire home/apt,280,3,22,2019-06-03,0.22,4,365
172616,ALONZO:  SWEET Flat in the Ukrainian Village,3908,Layne,,West Town,41.89753,-87.67315,Entire home/apt,75,3,65,2019-08-25,0.64,3,264
175511,1BR/1BA Suite in Chicago (3709-G1),837429,Petru,,Irving Park,41.96012,-87.72158,Entire home/apt,67,3,32,2019-11-08,0.32,2,339
